frame,body_landmark,x,y,z,visibility,hand_label
4,LEFT_THUMB,0.756354,0.941478,-1.663054,0.953065,N/A
4,RIGHT_THUMB,0.172952,0.968939,-1.683921,0.951554,N/A
4,LEFT_HIP,0.575429,1.695358,-0.094468,0.001938,N/A
4,RIGHT_HIP,0.321039,1.695553,0.098664,0.002033,N/A
4,LEFT_KNEE,0.585173,2.157362,-0.250462,0.003703,N/A
4,RIGHT_KNEE,0.344082,2.2363,-0.100833,0.00153,N/A
4,LEFT_ANKLE,0.625009,2.738711,0.215266,4e-05,N/A
4,RIGHT_ANKLE,0.398222,2.743942,0.178428,2.2e-05,N/A
4,LEFT_HEEL,0.633926,2.838874,0.235524,1.8e-05,N/A
4,RIGHT_HEEL,0.403749,2.826337,0.196472,1.7e-05,N/A
4,LEFT_FOOT_INDEX,0.596308,2.891188,-0.248701,0.000139,N/A
4,RIGHT_FOOT_INDEX,0.422332,2.888523,-0.296385,0.000187,N/A
4,HAND_0,0.694304,1.12234,1e-06,0.0,Right
4,HAND_1,0.638485,1.084621,-0.038992,0.0,Right
4,HAND_2,0.603203,1.017338,-0.065795,0.0,Right
4,HAND_3,0.579363,0.953546,-0.087935,0.0,Right
4,HAND_4,0.550087,0.893129,-0.111689,0.0,Right
4,HAND_5,0.654226,0.919127,-0.068315,0.0,Right
4,HAND_6,0.652043,0.818759,-0.101966,0.0,Right
4,HAND_7,0.649715,0.755231,-0.122921,0.0,Right
4,HAND_8,0.649471,0.699313,-0.137736,0.0,Right
4,HAND_9,0.701741,0.929533,-0.072201,0.0,Right
4,HAND_10,0.719634,0.820852,-0.104291,0.0,Right
4,HAND_11,0.727702,0.747946,-0.125586,0.0,Right
4,HAND_12,0.734212,0.682936,-0.141088,0.0,Right
4,HAND_13,0.741443,0.963523,-0.078825,0.0,Right
4,HAND_14,0.768164,0.864349,-0.114465,0.0,Right
4,HAND_15,0.779223,0.795727,-0.135555,0.0,Right
4,HAND_16,0.786599,0.731526,-0.149827,0.0,Right
4,HAND_17,0.774763,1.013818,-0.087086,0.0,Right
4,HAND_18,0.817434,0.953497,-0.122059,0.0,Right
4,HAND_19,0.842892,0.906723,-0.137861,0.0,Right
4,HAND_20,0.862055,0.857421,-0.147954,0.0,Right
4,HAND_0,0.177871,1.11032,1e-06,0.0,Left
4,HAND_1,0.23734,1.072043,-0.039292,0.0,Left
4,HAND_2,0.278805,1.005921,-0.062992,0.0,Left
4,HAND_3,0.310144,0.942258,-0.083023,0.0,Left
4,HAND_4,0.338353,0.880674,-0.104367,0.0,Left
4,HAND_5,0.227237,0.899345,-0.057147,0.0,Left
4,HAND_6,0.244487,0.80065,-0.090621,0.0,Left
4,HAND_7,0.255569,0.736868,-0.113442,0.0,Left
4,HAND_8,0.263949,0.68237,-0.129224,0.0,Left
4,HAND_9,0.181682,0.896551,-0.059017,0.0,Left
4,HAND_10,0.186451,0.789368,-0.088831,0.0,Left
4,HAND_11,0.186629,0.717875,-0.111123,0.0,Left
4,HAND_12,0.186195,0.655313,-0.127826,0.0,Left
4,HAND_13,0.138616,0.920843,-0.064384,0.0,Left
4,HAND_14,0.128211,0.823757,-0.094671,0.0,Left
4,HAND_15,0.121007,0.756432,-0.115704,0.0,Left
4,HAND_16,0.118228,0.697794,-0.130438,0.0,Left
4,HAND_17,0.100167,0.965783,-0.07238,0.0,Left
4,HAND_18,0.066802,0.903746,-0.103467,0.0,Left
4,HAND_19,0.045935,0.856497,-0.119775,0.0,Left
4,HAND_20,0.030181,0.808445,-0.130171,0.0,Left
5,NOSE,0.43307,0.683375,-0.993003,0.999949,N/A
5,LEFT_EYE_INNER,0.466186,0.6269,-0.956127,0.999935,N/A
5,LEFT_EYE,0.484279,0.628705,-0.956164,0.999925,N/A
5,LEFT_EYE_OUTER,0.500154,0.631571,-0.956013,0.999921,N/A
5,RIGHT_EYE_INNER,0.408426,0.626318,-0.938887,0.999918,N/A
5,RIGHT_EYE,0.38882,0.629079,-0.93914,0.999898,N/A
5,RIGHT_EYE_OUTER,0.373585,0.632219,-0.939381,0.999906,N/A
5,LEFT_EAR,0.528365,0.665185,-0.645574,0.999932,N/A
5,RIGHT_EAR,0.354246,0.672233,-0.561549,0.999896,N/A
5,MOUTH_LEFT,0.468417,0.758925,-0.869199,0.99989,N/A
5,MOUTH_RIGHT,0.40157,0.75497,-0.847606,0.999889,N/A
